Zeit;Kanal A
(ms);(V)

44,11513578;0,80204230
44,16503978;0,80204230
44,21494378;0,80204230
44,26484778;0,80204230
44,31475178;0,80204230
44,36465578;0,80204230
44,41455978;0,80204230
44,46446378;0,80204230
44,51436778;0,80204230
44,56427178;0,80204230
44,61417578;0,82068160
44,66407978;0,80204230
44,71398378;0,80204230
44,76388778;0,80204230
44,81379178;0,80204230
44,86369578;0,80204230
44,91359978;0,80204230
44,96350378;0,80204230
45,01340778;0,80204230
45,06331178;0,80204230
45,11321578;0,80204230
45,16311978;0,80204230
45,21302378;0,80204230
45,26292778;0,80204230
45,31283177;0,80204230
45,36273577;0,80204230
45,41263977;0,80204230
45,46254377;0,80204230
45,51244777;0,80204230
45,56235177;0,80204230
45,61225577;0,80204230
45,66215977;0,80204230
45,71206377;0,80204230
45,76196777;0,80204230
45,81187177;0,80204230
45,86177577;0,80204230
45,91167977;0,80204230
45,96158377;0,80204230
46,01148777;0,80204230
46,06139177;0,80204230
46,11129577;0,80204230
46,16119977;0,80204230
46,21110377;0,80204230
46,26100777;0,80204230
46,31091177;0,80204230
46,36081577;0,80204230
46,41071977;0,80204230
46,46062377;0,80204230
46,51052777;0,80204230
46,56043177;0,80204230
46,61033577;0,80204230
46,66023977;0,80204230
46,71014377;0,80204230
46,76004777;0,80204230
46,80995177;0,80204230
46,85985577;0,82068160
46,90975977;0,80204230
46,95966377;0,80204230
47,00956777;0,80204230
47,05947177;0,80204230
47,10937577;0,80204230
47,15927977;0,80204230
47,20918377;0,80204230
47,25908777;0,80204230
47,30899177;0,80204230
47,35889576;0,82068160
47,40879976;0,80204230
47,45870376;0,80204230
47,50860776;0,80204230
47,55851176;0,80204230
47,60841576;0,80204230
47,65831976;0,80204230
47,70822376;0,80204230
47,75812776;0,80204230
47,80803176;0,80204230
47,85793576;0,80204230
47,90783976;0,80204230
47,95774376;0,80204230
48,00764776;0,80204230
48,05755176;0,80204230
48,10745576;0,80204230
48,15735976;0,80204230
48,20726376;0,80204230
48,25716776;0,80204230
48,30707176;0,80204230
48,35697576;0,80204230
48,40687976;0,80204230
48,45678376;0,80204230
48,50668776;0,80204230
48,55659176;0,80204230
48,60649576;0,78334150
48,65639976;0,80204230
48,70630376;0,80204230
48,75620776;0,80204230
48,80611176;0,80204230
48,85601576;0,80204230
48,90591976;0,78334150
48,95582376;0,80204230
49,00572776;0,80204230
49,05563176;0,80204230
49,10553576;0,80204230
49,15543976;0,80204230
49,20534376;0,80204230
49,25524776;0,80204230
49,30515176;0,80204230
49,35505575;0,80204230
