Zeit (ms),Kanal A (mV)
-22.23333246,-3.91609200
-22.22833246,-3.35691400
-22.22333246,-3.35691400
-22.21833246,-3.17052100
-22.21333246,-3.35691400
-22.20833246,-3.91609200
-22.20333246,-4.84867100
-22.19833246,-4.10248500
-22.19333246,-4.28949300
-22.18833246,-4.10248500
-22.18333246,-4.47588600
-22.17833246,-5.40846400
-22.17333246,-5.03506400
-22.16833246,-4.84867100
-22.16333246,-3.72970000
-22.15833246,-5.22207200
-22.15333246,-5.03506400
-22.14833246,-6.71382900
-22.14333246,-5.78125000
-22.13833246,-6.71382900
-22.13333246,-6.34104300
-22.12833246,-7.27362200
-22.12333246,-7.83279900
-22.11833246,-8.76537800
-22.11333246,-8.57898500
-22.10833246,-8.76537800
-22.10333246,-9.51156400
-22.09833246,-8.95177200
-22.09333246,-9.32455600
-22.08833246,-10.25714000
-22.08333246,-8.76537800
-22.07833246,-9.69795700
-22.07333246,-9.13816400
-22.06833246,-8.76537800
-22.06333246,-8.57898500
-22.05833246,-8.57898500
-22.05333246,-7.83279900
-22.04833246,-5.78125000
-22.04333246,-7.27362200
-22.03833246,-6.15403500
-22.03333246,-7.46001400
-22.02833246,-5.40846400
-22.02333246,-5.78125000
-22.01833246,-4.66227800
-22.01333246,-4.47588600
-22.00833246,-4.47588600
-22.00333246,-4.47588600
-21.99833246,-4.10248500
-21.99333246,-4.66227800
-21.98833246,-3.91609200
-21.98333246,-4.10248500
-21.97833246,-4.10248500
-21.97333246,-4.84867100
-21.96833246,-3.54330700
-21.96333246,-3.91609200
-21.95833246,-2.23794300
-21.95333246,-3.72970000
-21.94833246,-3.54330700
-21.94333246,-3.72970000
-21.93833246,-3.17052100
-21.93333246,-4.10248500
-21.92833246,-2.79712100
-21.92333246,-3.35691400
-21.91833246,-1.67815000
-21.91333246,-2.98351400
-21.90833246,-2.61072800
-21.90333246,-2.42433500
-21.89833246,-2.05093500
-21.89333246,-2.98351400
-21.88833246,-3.54330700
-21.88333246,-4.10248500
-21.87833246,-2.98351400
-21.87333246,-4.47588600
-21.86833246,-3.54330700
-21.86333246,-4.84867100
-21.85833246,-3.91609200
-21.85333246,-4.47588600
-21.84833246,-5.03506400
-21.84333246,-5.03506400
-21.83833247,-2.61072800
-21.83333247,-3.17052100
-21.82833247,-3.91609200
-21.82333247,-5.22207200
-21.81833247,-2.61072800
-21.81333247,-3.91609200
-21.80833247,-2.98351400
-21.80333247,-3.17052100
-21.79833247,-3.54330700
-21.79333247,-3.54330700
-21.78833247,-2.42433500
-21.78333247,-3.17052100
-21.77833247,-2.42433500
-21.77333247,-3.35691400
-21.76833247,-3.35691400
-21.76333247,-3.54330700
-21.75833247,-2.79712100
-21.75333247,-4.47588600
-21.74833247,-2.23794300
-21.74333247,-4.28949300
-21.73833247,-2.79712100
-21.73333247,-4.28949300
-21.72833247,-3.17052100
-21.72333247,-2.98351400
-21.71833247,-3.17052100
-21.71333247,-3.54330700
-21.70833247,-2.98351400
-21.70333247,-2.79712100
-21.69833247,-1.86454200
-21.69333247,-2.79712100
-21.68833247,-1.67815000
-21.68333247,-1.30536400
-21.67833247,-1.67815000
-21.67333247,-1.49175700
-21.66833247,-0.74557080
-21.66333247,-0.74557080
-21.65833247,-1.11897100
-21.65333247,-0.37278540
-21.64833247,0.93196360
-21.64333247,1.67815000
-21.63833247,1.49175700
-21.63333247,1.67815000
-21.62833247,2.05093500
-21.62333247,1.86454200
-21.61833247,2.23794300
-21.61333247,2.79712100
-21.60833247,2.98351400
-21.60333247,3.72970000
-21.59833247,5.03506400
-21.59333247,4.28949300
-21.58833247,5.40846400
-21.58333247,5.22207200
-21.57833247,6.15403500
-21.57333247,6.15403500
-21.56833247,6.52743600
-21.56333247,7.46001400
-21.55833247,8.39259300
-21.55333247,7.46001400
-21.54833247,8.57898500
-21.54333247,7.64640700
-21.53833247,8.01919300
-21.53333247,8.39259300
-21.52833247,8.76537800
-21.52333247,8.57898500
-21.51833247,9.69795700
-21.51333247,7.83279900
-21.50833247,8.01919300
-21.50333247,6.90022100
-21.49833247,8.57898500
-21.49333247,7.64640700
-21.48833247,7.64640700
-21.48333247,7.64640700
-21.47833247,8.39259300
-21.47333247,6.90022100
-21.46833247,8.20558500
-21.46333247,5.78125000
-21.45833247,6.52743600
-21.45333247,6.52743600
-21.44833247,6.90022100
-21.44333248,7.08661400
-21.43833248,6.71382900
-21.43333248,6.52743600
-21.42833248,5.96764200
-21.42333248,5.78125000
-21.41833248,6.15403500
-21.41333248,5.78125000
-21.40833248,4.28949300
-21.40333248,4.66227800
-21.39833248,4.84867100
-21.39333248,3.54330700
-21.38833248,3.91609200
-21.38333248,5.22207200
-21.37833248,3.72970000
-21.37333248,3.91609200
-21.36833248,3.35691400
-21.36333248,4.66227800
-21.35833248,3.54330700
-21.35333248,4.47588600
-21.34833248,4.84867100
-21.34333248,4.84867100
-21.33833248,3.91609200
-21.33333248,5.22207200
-21.32833248,4.47588600
-21.32333248,4.66227800
-21.31833248,4.47588600
-21.31333248,5.59485700
-21.30833248,4.28949300
-21.30333248,4.47588600
-21.29833248,4.84867100
-21.29333248,3.91609200
-21.28833248,3.54330700
-21.28333248,4.84867100
-21.27833248,4.47588600
-21.27333248,3.72970000
-21.26833248,3.17052100
-21.26333248,4.28949300
-21.25833248,4.10248500
-21.25333248,3.54330700
-21.24833248,3.72970000
-21.24333248,5.40846400
-21.23833248,3.91609200
-21.23333248,4.28949300
-21.22833248,4.10248500
-21.22333248,4.10248500
-21.21833248,2.98351400
-21.21333248,4.10248500
-21.20833248,3.91609200
-21.20333248,3.91609200
-21.19833248,5.40846400
-21.19333248,4.84867100
-21.18833248,3.72970000
-21.18333248,4.10248500
-21.17833248,4.66227800
-21.17333248,4.47588600
-21.16833248,5.03506400
-21.16333248,5.03506400
-21.15833248,5.40846400
-21.15333248,4.84867100
-21.14833248,4.47588600
-21.14333248,5.59485700
-21.13833248,4.10248500
-21.13333248,5.59485700
-21.12833248,3.91609200
-21.12333248,5.40846400
-21.11833248,4.28949300
-21.11333248,4.84867100
-21.10833248,3.91609200
-21.10333248,3.35691400
-21.09833248,2.23794300
-21.09333248,1.67815000
-21.08833248,0.93196360
-21.08333248,0.74557080
-21.07833248,0.18639270
-21.07333248,0.00000000
-21.06833248,-1.67815000
-21.06333248,-0.74557080
-21.05833248,-1.49175700
-21.05333248,-1.49175700
-21.04833249,-2.23794300
-21.04333249,-2.05093500
-21.03833249,-2.23794300
-21.03333249,-2.05093500
-21.02833249,-1.49175700
-21.02333249,-0.74557080
-21.01833249,-1.49175700
-21.01333249,-1.49175700
-21.00833249,-1.30536400
-21.00333249,-0.74557080
-20.99833249,-0.93196360
-20.99333249,-0.74557080
-20.98833249,-1.86454200
-20.98333249,-0.93196360
-20.97833249,-2.23794300
-20.97333249,-2.05093500
-20.96833249,-3.17052100
-20.96333249,-2.79712100
-20.95833249,-3.35691400
-20.95333249,-3.72970000
-20.94833249,-3.17052100
-20.94333249,-4.47588600
-20.93833249,-3.91609200
-20.93333249,-3.72970000
-20.92833249,-4.28949300
-20.92333249,-4.47588600
-20.91833249,-4.10248500
-20.91333249,-3.91609200
-20.90833249,-4.47588600
-20.90333249,-3.91609200
-20.89833249,-5.03506400
-20.89333249,-5.03506400
-20.88833249,-5.40846400
-20.88333249,-5.96764200
-20.87833249,-5.96764200
-20.87333249,-6.90022100
-20.86833249,-6.71382900
-20.86333249,-6.90022100
-20.85833249,-7.83279900
-20.85333249,-7.64640700
-20.84833249,-9.13816400
-20.84333249,-8.20558500
-20.83833249,-8.20558500
-20.83333249,-9.69795700
-20.82833249,-9.32455600
-20.82333249,-9.69795700
-20.81833249,-9.69795700
-20.81333249,-9.69795700
-20.80833249,-8.95177200
-20.80333249,-9.51156400
-20.79833249,-10.25714000
-20.79333249,-8.95177200
-20.78833249,-8.57898500
-20.78333249,-7.46001400
-20.77833249,-7.08661400
-20.77333249,-5.96764200
-20.76833249,-6.71382900
-20.76333249,-5.96764200
-20.75833249,-5.40846400
-20.75333249,-5.03506400
-20.74833249,-5.03506400
-20.74333249,-4.84867100
-20.73833249,-5.40846400
-20.73333249,-3.91609200
-20.72833249,-4.47588600
-20.72333249,-3.72970000
-20.71833249,-5.40846400
-20.71333249,-4.10248500
-20.70833249,-5.03506400
-20.70333249,-5.03506400
-20.69833249,-4.28949300
-20.69333249,-3.91609200
-20.68833249,-4.66227800
-20.68333249,-3.54330700
-20.67833249,-4.47588600
-20.67333249,-3.54330700
-20.66833249,-3.72970000
-20.66333249,-2.98351400
-20.65833249,-2.98351400
-20.65333250,-2.23794300
-20.64833250,-3.91609200
-20.64333250,-3.35691400
-20.63833250,-2.61072800
-20.63333250,-2.23794300
-20.62833250,-2.42433500
-20.62333250,-3.17052100
-20.61833250,-2.61072800
-20.61333250,-2.98351400
-20.60833250,-4.47588600
-20.60333250,-4.10248500
-20.59833250,-4.47588600
-20.59333250,-5.03506400
-20.58833250,-4.10248500
-20.58333250,-3.91609200
-20.57833250,-3.91609200
-20.57333250,-4.10248500
-20.56833250,-4.28949300
-20.56333250,-4.10248500
-20.55833250,-4.47588600
-20.55333250,-4.10248500
-20.54833250,-4.47588600
-20.54333250,-3.35691400
-20.53833250,-3.72970000
-20.53333250,-3.17052100
-20.52833250,-2.05093500
-20.52333250,-2.98351400
-20.51833250,-2.61072800
-20.51333250,-3.17052100
-20.50833250,-2.79712100
-20.50333250,-2.98351400
-20.49833250,-2.79712100
-20.49333250,-2.98351400
-20.48833250,-2.42433500
-20.48333250,-3.17052100
-20.47833250,-2.98351400
-20.47333250,-2.23794300
-20.46833250,-2.23794300
-20.46333250,-3.54330700
-20.45833250,-2.61072800
-20.45333250,-4.47588600
-20.44833250,-2.98351400
-20.44333250,-3.72970000
-20.43833250,-3.91609200
-20.43333250,-3.17052100
-20.42833250,-2.42433500
-20.42333250,-2.98351400
-20.41833250,-2.98351400
